Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,127.500000,127.860001,124.779999,125.870003,124.970001,16819900
2021-01-05,124.989998,126.300003,123.769997,125.650002,125.650002,13731200
2021-01-06,129.880005,132.770004,127.879997,131.550003,131.550003,24909100
2021-01-07,135.690002,138.190002,134.919998,135.869995,135.869995,21940400
2021-01-08,135.970001,136.350006,134.119995,136.020004,136.020004,12035100
2021-01-11,134.580002,138.199997,134.110001,138.050003,138.050003,15949000
2021-01-12,139.440002,141.660004,138.830002,140.220001,140.220001,18033500
2021-01-13,138.589996,140.789993,138.100006,140.350006,140.350006,14816800
2021-01-14,140.490005,142.750000,140.000000,141.169998,141.169998,18565600
2021-01-15,137.429993,141.649994,137.009995,138.639999,138.639999,27881000
2021-01-19,139.860001,140.699997,137.820007,138.039993,138.039993,19843800
2021-01-20,137.820007,138.169998,135.440002,135.970001,135.970001,16028800
2021-01-21,135.690002,136.160004,134.320007,134.830002,134.830002,13415000
2021-01-22,132.690002,134.399994,132.199997,133.789993,133.789993,12933200
2021-01-25,132.139999,133.169998,130.059998,132.119995,132.119995,14212800
2021-01-26,132.750000,133.169998,131.339996,131.580002,131.580002,11307800
2021-01-27,129.589996,129.850006,127.349998,127.860001,127.860001,17603900
2021-01-28,129.899994,132.169998,128.990005,130.110001,130.110001,13761800
2021-01-29,131.190002,131.720001,128.190002,128.669998,128.669998,14803100
2021-02-01,129.399994,130.070007,128.479996,129.619995,129.619995,11080700
2021-02-02,131.940002,134.389999,131.220001,133.610001,133.610001,12253600
2021-02-03,133.649994,135.759995,133.509995,135.139999,135.139999,10600800
2021-02-04,135.470001,138.660004,135.470001,138.250000,138.250000,12419500
2021-02-05,139.389999,139.490005,137.380005,137.979996,137.979996,10045100
2021-02-08,138.199997,140.300003,138.179993,140.139999,140.139999,10136400
2021-02-09,139.429993,139.979996,138.539993,139.580002,139.580002,8614800
2021-02-10,140.000000,140.869995,139.039993,139.660004,139.660004,10323200
2021-02-11,139.660004,140.550003,138.220001,139.270004,139.270004,9197800
2021-02-12,139.050003,141.610001,139.000000,141.250000,141.250000,8322600
2021-02-16,143.550003,145.320007,142.399994,144.649994,144.649994,12130600
2021-02-17,143.949997,145.380005,143.119995,145.100006,145.100006,10810100
2021-02-18,144.000000,145.789993,143.399994,145.589996,145.589996,10587800
2021-02-19,145.860001,148.839996,145.860001,148.020004,148.020004,11969800
2021-02-22,146.869995,150.190002,146.789993,149.410004,149.410004,11488400
2021-02-23,151.509995,152.309998,149.589996,150.610001,150.610001,16234400
2021-02-24,150.110001,153.759995,150.110001,153.259995,153.259995,15061400
2021-02-25,154.270004,154.899994,150.589996,151.179993,151.179993,18127700
2021-02-26,150.300003,150.869995,146.509995,147.169998,147.169998,19823300
2021-03-01,149.520004,151.380005,148.479996,150.500000,150.500000,14763300
2021-03-02,150.080002,151.779999,149.839996,150.009995,150.009995,14220300
2021-03-03,151.229996,154.979996,150.820007,152.910004,152.910004,14320300
2021-03-04,152.610001,154.380005,148.619995,150.559998,150.559998,20076600
2021-03-05,153.220001,153.490005,147.970001,150.910004,150.910004,18460800
2021-03-08,152.470001,155.460007,150.750000,152.910004,152.910004,17128300
2021-03-09,151.500000,154.250000,149.820007,151.830002,151.830002,16203300
2021-03-10,151.910004,156.160004,151.509995,155.130005,155.130005,14334600
2021-03-11,154.110001,156.149994,153.360001,154.320007,154.320007,11769700
2021-03-12,156.860001,157.630005,155.070007,156.149994,156.149994,12845700
2021-03-15,156.350006,156.919998,153.960007,155.369995,155.369995,12101100
2021-03-16,154.089996,154.600006,152.190002,153.509995,153.509995,12795200
2021-03-17,155.339996,156.880005,153.050003,155.089996,155.089996,13916000
2021-03-18,157.600006,161.690002,157.110001,157.649994,157.649994,21892500
